time,cylinder_pressure,brake_power,air_fuel_ratio,boost_pressure,exhaust_temp,rpm,injection_timing,vibration
0.0,60.9224,47.137,14.5827,1.9967,519.8026,2202.7131,11.9219,0.1109
0.001,66.089,47.4497,14.6058,2.0998,522.0472,2208.6686,12.2471,0.5059
0.002,69.9678,48.0363,14.7152,2.1795,520.1372,2215.218,12.5985,0.5207
0.003,73.0986,48.4237,14.796,2.2764,523.2655,2226.5119,12.78,0.4513
0.004,72.0494,48.3121,14.8225,2.2971,525.508,2230.3935,12.8751,0.6896
0.005,69.9201,48.9481,14.8594,2.2905,526.0107,2232.8838,13.0528,0.294
0.006,65.7884,48.9423,14.9154,2.2221,525.6654,2244.1999,13.0199,-0.0705
0.007,63.8782,49.6609,14.9784,2.1575,526.767,2245.0472,12.8582,0.3155
0.008,61.3328,49.3142,15.0129,2.0565,528.4329,2250.0736,12.6085,0.2385
0.009,59.4813,49.6339,15.0389,1.9232,532.1322,2248.7533,12.3985,0.1903
0.01,59.7794,49.87,14.9901,1.8071,532.3494,2250.4415,11.9291,0.2801
0.011,59.5183,49.9321,14.9019,1.7425,533.3967,2248.5757,11.8027,0.2465
0.012,58.8962,49.9524,14.8526,1.7081,531.8057,2248.5012,11.4075,-0.3251
0.013,56.8162,50.3197,14.7434,1.707,535.9909,2248.5492,11.1816,-0.71
0.014,53.652,50.0743,14.8529,1.7579,535.0116,2241.1958,11.0606,-0.6523
0.015,50.1475,49.5871,14.6491,1.8037,536.9614,2236.7881,11.0025,-0.7552
0.016,47.9233,49.6948,14.6085,1.8837,536.0045,2227.6368,10.9614,-0.8215
0.017,47.5446,49.4991,14.4032,2.0401,537.5112,2220.5275,11.2422,-0.2523
0.018,49.5029,49.3993,14.2524,2.0992,538.1037,2214.1003,11.4453,0.043
0.019,54.6,49.0985,14.3206,2.2135,539.6204,2206.6102,11.7209,0.0022
0.02,60.3647,48.6611,14.1113,2.3089,539.3083,2197.7767,11.9463,0.1516
0.021,65.4426,48.1385,14.0685,2.3137,540.6207,2193.7816,12.293,0.275
0.022,70.6092,48.1887,14.1311,2.27,538.3579,2179.4912,12.5476,0.0447
0.023,72.5501,47.7486,14.091,2.2209,539.3137,2177.1728,12.7568,0.0153
0.024,72.3404,47.2226,14.0004,2.1159,539.1446,2170.4632,12.9074,0.4544
0.025,70.7016,46.8437,13.992,1.9576,538.2218,2165.3331,13.0378,0.4464
0.026,65.7615,46.4959,14.0339,1.8894,539.377,2161.9283,12.9652,0.4667
0.027,62.2539,45.9811,14.0356,1.8267,541.148,2155.7715,12.8746,0.8106
0.028,61.4724,45.8882,14.0945,1.7479,539.8255,2154.0321,12.5859,0.7201
0.029,59.9135,45.6529,14.148,1.6937,539.5919,2149.5213,12.2788,0.0038
0.03,60.245,45.3223,14.2197,1.7231,539.4432,2153.0045,12.0143,-0.2145
0.031,59.8957,45.1567,14.3656,1.7812,535.3379,2153.7946,11.667,-0.3292
0.032,59.7472,44.5537,14.3904,1.8648,537.3606,2150.4107,11.4186,-0.6276
0.033,55.3471,44.4593,14.4498,1.9489,537.6495,2154.0804,11.2575,-0.5561
0.034,53.2126,43.9051,14.4315,2.067,536.0884,2158.9308,11.1045,-0.1267
0.035,50.0498,44.2627,14.5664,2.1844,537.147,2163.7032,10.9597,-0.2221
0.036,46.7767,44.0417,14.8299,2.1977,536.8301,2168.68,11.0519,-0.3927
0.037,47.2313,44.0531,14.8024,2.2437,534.5599,2175.0325,11.2215,-0.2178
0.038,50.1965,44.3031,14.9543,2.277,534.3825,2187.3899,11.4388,-0.3479
0.039,54.3528,44.083,14.938,2.2461,532.9071,2194.2744,11.6455,-0.6508
0.04,59.7369,44.0095,14.9312,2.1456,531.9419,2196.9652,11.9658,-0.3019
0.041,65.6986,44.3868,15.0525,2.0559,530.0769,2205.8503,12.3632,0.2909
0.042,71.2665,44.3878,14.9765,1.9535,528.5766,2216.8483,12.5656,0.288
0.043,73.1061,44.5415,14.9262,1.8753,529.1176,2223.6491,12.8844,0.6383
0.044,72.3739,44.8038,15.0586,1.7849,529.4433,2228.7659,12.8962,0.8799
0.045,70.7675,45.5747,14.8007,1.7226,526.3931,2235.6968,12.9954,0.7748
